,메뉴,가격
346,볶음김치,500
347,김치,400
348,무말랭이 무침,500
349,한솥밥,"1,000"
350,현미밥,"1,700"
351,리얼꿀 미니호떡,"2,200"
352,반찬 묵은지김치찌개,"4,400"
353,반찬 카레,"2,900"
354,반찬 순살 고등어 간장구이,"3,900"
355,반찬 김치 부대찌개,"4,900"
356,반찬 치킨,"3,800"
357,반찬 고기고기,"3,600"
358,반찬 돈까스도련님,"4,100"
359,반찬 제육볶음,"3,500"
360,반찬 토네이도 소세지,"3,200"
361,반찬 돈까스,"2,900"
362,치즈버터 해시 포테이토 스틱,"2,200"
363,허니버터 해시 포테이토 스틱,"2,200"
364,해시 포테이토 스틱,"2,000"
365,뉴 감자고로케,"2,700"
366,미니 찹쌀핫도그,"2,800"
367,미니 찹쌀탕수육,"2,300"
368,케이준후라이,"1,900"
369,통현미 닭강정(소),"3,500"
370,통현미 닭강정(중),"8,500"
371,후라이드 순살(중),"7,500"
372,후라이드 순살(소)_양념치킨소스,"4,000"
373,후라이드 순살(소)_케이준소스,"4,000"
374,3종 미니반찬B,"1,300"
375,3종 미니반찬A,"1,300"
376,오징어젓갈,600
377,한솥 두부강된장소스,"1,800"
378,한솥 감초볶음고추장소스,500
379,볶음김치,500
380,김치,400
381,무말랭이 무침,500
382,한솥밥,"1,000"
383,현미밥,"1,700"
384,리얼꿀 미니호떡,"2,200"
